L1c center freq       L1c chanID      L1b chanID 
-------------------------------------------------
  0649.619                1                1 
  0650.813                6                6 
  0652.012               11               11 
  0653.215               16               16 
  0654.424               21               21 
  0655.637               26               26 
  0656.855               31               31 
  0658.077               36               36 
  0659.305               41               41 
  0660.537               46               46 
  0661.774               51               51 
  0663.016               56               56 
  0664.264               61               61 
  0665.516               66               66 
  0666.773               71               71 
  0669.302               81               81 
  0670.574               86               86 
  0671.852               91               91 
  0673.134               96               96 
  0674.422              101              101 
  0675.714              106              106 
  0677.012              111              111 
  0678.316              116              116 
  0680.149              123              123 
  0681.465              128              128 
  0688.680              156              135 
  0690.033              161              140 
  0691.392              166              145 
  0692.756              171              150 
  0694.126              176              155 
  0695.501              181              160 
  0696.882              186              165 
  0698.268              191              170 
  0699.660              196              175 
  0700.219              198              177 
  0701.619              203              182 
  0703.025              208              187 
  0704.436              213              192 
  0705.854              218              197 
  0707.277              223              202 
  0708.706              228              207 
  0710.141              233              212 
  0711.582              238              217 
  0713.029              243              222 
  0714.482              248              227 
  0715.941              253              232 
  0717.407              258              237 
  0719.173              264              243 
  0720.651              269              248 
  0722.136              274              253 
  0723.627              279              258 
  0725.124              284              263 
  0728.137              294              273 
  0730.481              302              283 
  0734.766              316              297 
  0735.382              318              299 
  0739.412              331              312 
  0740.973              336              317 
  0746.014              352              333 
  0746.332              353              334 
  0747.285              356              337 
  0749.519              363              344 
  0753.704              376              357 
  0755.326              381              362 
  0757.607              388              369 
  0762.212              402              383 
  0762.874              404              385 
  0766.202              414              395 
  0769.896              425              406 
  0776.358              444              425 
  0780.840              457              438 
  0790.321              485              445 
  0797.472              505              465 
  0798.918              509              469 
  0802.188              518              478 
  0802.553              519              479 
  0803.649              522              482 
  0813.649              549              509 
  0815.151              553              513 
  0818.170              561              521 
  0818.549              562              522 
  0820.448              567              527 
  0823.888              576              536 
  0825.426              580              540 
  0829.683              591              551 
  0830.072              592              552 
  0830.461              593              553 
  0867.758              697              661 
  0868.397              699              663 
  0869.678              703              667 
  0871.286              708              672 
  0871.608              709              673 
  0871.931              710              674 
  0872.253              711              675 
  0876.799              725              689 
  0877.453              727              691 
  0878.763              731              695 
  0880.736              737              701 
  0882.719              743              707 
  0886.713              755              719 
  0887.717              758              722 
  0890.408              766              730 
  0891.083              768              732 
  0892.098              771              735 
  0899.617              793              757 
  0900.998              797              761 
  0913.365              833              776 
  0916.584              842              785 
  0918.743              848              791 
  0920.550              853              796 
  0921.275              855              798 
  0923.822              862              805 
  0925.650              867              810 
  0929.698              878              821 
  0939.035              903              846 
  0941.304              909              852 
  0945.111              919              862 
  0948.950              929              872 
  0964.230              968              911 
  0968.229              978              921 
  0977.491             1001              946 
  0984.499             1018              963 
  0992.450             1037              982 
  0999.672             1054              999 
  1000.958             1057             1002 
  1001.816             1059             1004 
  1002.677             1061             1006 
  1005.266             1067             1012 
  1005.698             1068             1013 
  1008.738             1075             1020 
  1010.483             1079             1024 
  1010.921             1080             1025 
  1011.358             1081             1026 
  1012.234             1083             1028 
  1030.531             1124             1069 
  1031.440             1126             1071 
  1031.895             1127             1072 
  1032.351             1128             1073 
  1032.807             1129             1074 
  1033.263             1130             1075 
  1036.009             1136             1081 
  1036.468             1137             1082 
  1037.387             1139             1084 
  1038.308             1141             1086 
  1040.154             1145             1090 
  1043.866             1153             1098 
  1044.798             1155             1100 
  1046.199             1158             1103 
  1057.025             1182             1106 
  1216.972             1492             1263 
  1217.986             1494             1265 
  1218.494             1495             1266 
  1219.002             1496             1267 
  1219.511             1497             1268 
  1220.020             1498             1269 
  1220.529             1499             1270 
  1221.039             1500             1271 
  1223.083             1504             1275 
  1223.595             1505             1276 
  1226.162             1510             1281 
  1226.677             1511             1282 
  1227.707             1513             1284 
  1229.773             1517             1288 
  1230.291             1518             1289 
  1230.809             1519             1290 
  1231.328             1520             1291 
  1232.366             1522             1293 
  1232.886             1523             1294 
  1233.406             1524             1295 
  1233.927             1525             1296 
  1234.969             1527             1298 
  1236.014             1529             1300 
  1236.536             1530             1301 
  1237.060             1531             1302 
  1237.583             1532             1303 
  1238.108             1533             1304 
  1238.632             1534             1305 
  1239.683             1536             1307 
  1240.735             1538             1309 
  1242.317             1541             1312 
  1243.373             1543             1314 
  1244.432             1545             1316 
  1244.962             1546             1317 
  1245.492             1547             1318 
  1246.023             1548             1319 
  1247.086             1550             1321 
  1248.150             1552             1323 
  1249.751             1555             1326 
  1251.355             1558             1329 
  1251.891             1559             1330 
  1252.427             1560             1331 
  1252.963             1561             1332 
  1254.576             1564             1335 
  1255.114             1565             1336 
  1257.273             1569             1340 
  1257.813             1570             1341 
  1259.438             1573             1344 
  1259.981             1574             1345 
  1260.524             1575             1346 
  1261.067             1576             1347 
  1261.611             1577             1348 
  1263.791             1581             1352 
  1265.979             1585             1356 
  1268.174             1589             1360 
  1268.724             1590             1361 
  1270.376             1593             1364 
  1270.928             1594             1365 
  1271.480             1595             1366 
  1288.298             1626             1376 
  1292.845             1634             1384 
  1295.130             1638             1388 
  1296.849             1641             1391 
  1302.611             1651             1401 
  1303.190             1652             1402 
  1303.770             1653             1403 
  1304.350             1654             1404 
  1305.511             1656             1406 
  1307.840             1660             1410 
  1309.007             1662             1412 
  1309.592             1663             1413 
  1310.177             1664             1414 
  1310.762             1665             1415 
  1311.348             1666             1416 
  1311.934             1667             1417 
  1312.521             1668             1418 
  1314.285             1671             1421 
  1314.874             1672             1422 
  1315.464             1673             1423 
  1316.054             1674             1424 
  1317.236             1676             1426 
  1317.827             1677             1427 
  1318.419             1678             1428 
  1319.012             1679             1429 
  1320.793             1682             1432 
  1321.387             1683             1433 
  1321.983             1684             1434 
  1322.578             1685             1435 
  1323.175             1686             1436 
  1323.771             1687             1437 
  1324.966             1689             1439 
  1325.565             1690             1440 
  1326.163             1691             1441 
  1326.763             1692             1442 
  1328.564             1695             1445 
  1329.165             1696             1446 
  1329.767             1697             1447 
  1330.370             1698             1448 
  1330.973             1699             1449 
  1331.576             1700             1450 
  1334.601             1705             1455 
  1335.208             1706             1456 
  1335.815             1707             1457 
  1338.165             1711             1461 
  1338.673             1712             1462 
  1341.730             1718             1470 
  1342.241             1719             1471 
  1342.753             1720             1472 
  1343.264             1721             1473 
  1343.777             1722             1474 
  1346.859             1728             1480 
  1347.889             1730             1482 
  1348.405             1731             1483 
  1348.921             1732             1484 
  1353.587             1741             1493 
  1355.672             1745             1497 
  1356.716             1747             1499 
  1358.287             1750             1502 
  1358.811             1751             1503 
  1359.336             1752             1504 
  1359.861             1753             1505 
  1360.386             1754             1506 
  1362.493             1758             1510 
  1363.020             1759             1511 
  1364.606             1762             1514 
  1365.665             1764             1516 
  1366.726             1766             1518 
  1367.788             1768             1520 
  1368.320             1769             1521 
  1368.853             1770             1522 
  1369.385             1771             1523 
  1369.919             1772             1524 
  1370.452             1773             1525 
  1370.986             1774             1526 
  1371.521             1775             1527 
  1372.056             1776             1528 
  1372.591             1777             1529 
  1373.127             1778             1530 
  1373.663             1779             1531 
  1374.200             1780             1532 
  1375.275             1782             1534 
  1375.813             1783             1535 
  1376.351             1784             1536 
  1376.890             1785             1537 
  1378.509             1788             1540 
  1380.674             1792             1544 
  1381.759             1794             1546 
  1382.303             1795             1547 
  1382.846             1796             1548 
  1383.390             1797             1549 
  1383.935             1798             1550 
  1384.480             1799             1551 
  1385.025             1800             1552 
  1385.571             1801             1553 
  1386.118             1802             1554 
  1386.664             1803             1555 
  1387.212             1804             1556 
  1388.856             1807             1559 
  1389.405             1808             1560 
  1389.955             1809             1561 
  1390.504             1810             1562 
  1391.606             1812             1564 
  1392.709             1814             1566 
  1393.261             1815             1567 
  1393.813             1816             1568 
  1394.366             1817             1569 
  1394.920             1818             1570 
  1396.028             1820             1572 
  1396.583             1821             1573 
  1397.139             1822             1574 
  1397.694             1823             1575 
  1398.251             1824             1576 
  1398.807             1825             1577 
  1400.480             1828             1580 
  1401.039             1829             1581 
  1401.598             1830             1582 
  1402.157             1831             1583 
  1403.277             1833             1585 
  1403.838             1834             1586 
  1404.399             1835             1587 
  1405.523             1837             1589 
  1406.649             1839             1591 
  1408.341             1842             1594 
  1410.604             1846             1598 
  1411.171             1847             1599 
  1412.874             1850             1602 
  1414.012             1852             1604 
  1415.152             1854             1606 
  1416.293             1856             1608 
  1418.582             1860             1612 
  1419.729             1862             1614 
  1420.304             1863             1615 
  1420.878             1864             1616 
  1422.029             1866             1618 
  1422.606             1867             1619 
  1423.182             1868             1620 
  1423.760             1869             1621 
  1424.337             1870             1622 
  1424.915             1871             1623 
  1426.073             1873             1625 
  1426.653             1874             1626 
  1427.233             1875             1627 
  1428.394             1877             1629 
  1428.976             1878             1630 
  1429.558             1879             1631 
  1430.723             1881             1633 
  1431.307             1882             1634 
  1431.891             1883             1635 
  1433.060             1885             1637 
  1433.645             1886             1638 
  1434.231             1887             1639 
  1434.818             1888             1640 
  1437.757             1893             1645 
  1438.346             1894             1646 
  1438.936             1895             1647 
  1439.526             1896             1648 
  1440.708             1898             1650 
  1442.485             1901             1653 
  1460.875             1933             1656 
  1462.093             1935             1658 
  1462.703             1936             1659 
  1463.314             1937             1660 
  1463.924             1938             1661 
  1465.148             1940             1663 
  1466.986             1943             1666 
  1467.600             1944             1667 
  1468.215             1945             1668 
  1471.294             1950             1673 
  1471.912             1951             1674 
  1472.530             1952             1675 
  1473.767             1954             1677 
  1474.387             1955             1678 
  1475.628             1957             1680 
  1476.249             1958             1681 
  1478.739             1962             1685 
  1479.362             1963             1686 
  1479.986             1964             1687 
  1480.611             1965             1688 
  1483.116             1969             1692 
  1484.999             1972             1695 
  1485.628             1973             1696 
  1486.258             1974             1697 
  1488.781             1978             1701 
  1490.046             1980             1703 
  1490.679             1981             1704 
  1491.313             1982             1705 
  1491.947             1983             1706 
  1493.853             1986             1709 
  1495.127             1988             1711 
  1497.041             1991             1714 
  1497.680             1992             1715 
  1498.319             1993             1716 
  1498.960             1994             1717 
  1499.600             1995             1718 
  1500.242             1996             1719 
  1513.181             2016             1739 
  1515.796             2020             1743 
  1516.451             2021             1744 
  1519.076             2025             1748 
  1519.734             2026             1749 
  1521.051             2028             1751 
  1521.711             2029             1752 
  1522.371             2030             1753 
  1523.031             2031             1754 
  1524.354             2033             1756 
  1527.007             2037             1760 
  1541.099             2059             1761 
  1541.775             2060             1762 
  1542.451             2061             1763 
  1544.484             2064             1766 
  1545.163             2065             1767 
  1545.842             2066             1768 
  1547.203             2068             1770 
  1547.884             2069             1771 
  1549.248             2071             1773 
  1550.614             2073             1775 
  1551.298             2074             1776 
  1551.983             2075             1777 
  1552.668             2076             1778 
  1553.354             2077             1779 
  1554.040             2078             1780 
  1563.712             2092             1794 
  1565.799             2095             1797 
  1566.496             2096             1798 
  1567.892             2098             1800 
  1568.591             2099             1801 
  1570.692             2102             1804 
  1572.095             2104             1806 
  1573.500             2106             1808 
  1577.732             2112             1814 
  1578.439             2113             1815 
  1581.275             2117             1819 
  1582.696             2119             1821 
  1583.408             2120             1822 
  1584.120             2121             1823 
  1584.833             2122             1824 
  1586.261             2124             1826 
  1586.976             2125             1827 
  1589.124             2128             1830 
  1589.841             2129             1831 
  1590.559             2130             1832 
  1591.997             2132             1834 
  1592.716             2133             1835 
  1594.879             2136             1838 
  1595.602             2137             1839 
  1596.324             2138             1840 
  1598.497             2141             1843 
  1599.948             2143             1845 
  1600.675             2144             1846 
  1602.130             2146             1848 
  1602.859             2147             1849 
  1603.588             2148             1850 
  1604.318             2149             1851 
  1605.049             2150             1852 
  1606.511             2152             1854 
  1607.977             2154             1856 
  1609.445             2156             1858 
  1611.652             2159             1861 
  1612.389             2160             1862 
  1613.126             2161             1863 
  1613.865             2162             1864 
