% contact : Philip Gentry
% he said this is T2LT from MSU, and is the anomaly from seasonal averages
%Year Mo Globe  Land Ocean   NH   Land Ocean   SH   Land Ocean Trpcs  Land Ocean NoExt  Land Ocean SoExt  Land Ocean NoPol  Land Ocean SoPol  Land Ocean USA48
 1978 12 -0.28 -0.35 -0.24 -0.30 -0.40 -0.21 -0.26 -0.25 -0.27 -0.21 -0.20 -0.22 -0.38 -0.51 -0.21 -0.26 -0.19 -0.28 -0.61 -1.29  0.47 -0.21 -0.21 -0.21 -1.58
 1979  1 -0.25 -0.39 -0.17 -0.47 -0.69 -0.27 -0.03  0.17 -0.10 -0.12 -0.10 -0.13 -0.67 -0.88 -0.41  0.03  0.41 -0.07 -0.45 -1.02  0.46  0.25  0.43  0.10 -3.77
 1979  2 -0.26 -0.45 -0.14 -0.42 -0.57 -0.27 -0.10 -0.23 -0.05  0.00  0.08 -0.03 -0.65 -0.82 -0.44 -0.13 -0.39 -0.07 -2.86 -3.15 -2.39 -0.30 -0.68 -0.01 -2.39
 1979  3 -0.26 -0.33 -0.22 -0.35 -0.35 -0.34 -0.17 -0.29 -0.13 -0.10 -0.14 -0.08 -0.51 -0.46 -0.58 -0.17 -0.30 -0.13 -0.94 -1.14 -0.64 -0.41 -0.89 -0.03 -0.55
 1979  4 -0.28 -0.40 -0.21 -0.39 -0.56 -0.23 -0.17 -0.09 -0.19 -0.05 -0.04 -0.05 -0.59 -0.76 -0.37 -0.21 -0.03 -0.26 -0.92 -0.88 -0.98  0.03  0.68 -0.48 -0.92
 1979  5 -0.25 -0.34 -0.19 -0.38 -0.37 -0.39 -0.11 -0.29 -0.06 -0.12 -0.16 -0.10 -0.49 -0.43 -0.56 -0.14 -0.41 -0.07 -0.82 -0.45 -1.41  0.07 -0.10  0.20 -0.88
 1979  6 -0.20 -0.25 -0.18 -0.25 -0.29 -0.22 -0.15 -0.18 -0.14 -0.05 -0.07 -0.05 -0.32 -0.33 -0.32 -0.24 -0.33 -0.21 -0.69 -0.94 -0.30 -1.08 -1.17 -1.01 -0.28
 1979  7 -0.12 -0.27 -0.03  0.00 -0.16  0.15 -0.24 -0.49 -0.15  0.00 -0.04  0.02 -0.03 -0.24  0.24 -0.34 -0.75 -0.23 -0.15 -0.40  0.24 -1.04 -1.47 -0.69 -0.14
 1979  8 -0.24 -0.33 -0.19 -0.19 -0.29 -0.10 -0.29 -0.41 -0.25 -0.01  0.03 -0.04 -0.30 -0.42 -0.16 -0.41 -0.71 -0.33 -0.25 -0.43  0.04 -1.04 -1.14 -0.96 -0.69
 1979  9 -0.10 -0.15 -0.07 -0.14 -0.13 -0.16 -0.06 -0.20 -0.01  0.03  0.05  0.02 -0.22 -0.16 -0.29 -0.12 -0.47 -0.02 -0.17 -0.11 -0.26 -0.12 -0.34  0.06  0.96
 1979 10  0.01 -0.09  0.07 -0.04 -0.12  0.04  0.06 -0.03  0.09  0.14  0.19  0.11 -0.14 -0.21 -0.06  0.03 -0.24  0.10 -0.49 -0.60 -0.32 -0.10 -0.63  0.31  0.16
 1979 11 -0.11 -0.10 -0.12 -0.10 -0.15 -0.06 -0.12 -0.02 -0.15  0.20  0.14  0.23 -0.26 -0.27 -0.25 -0.29 -0.07 -0.35 -0.82 -0.32 -1.61 -0.08  0.01 -0.15 -1.26
 1979 12  0.02  0.22 -0.09 -0.03  0.13 -0.18  0.07  0.38 -0.04 -0.02 -0.14  0.05 -0.02  0.24 -0.34  0.10  0.76 -0.08 -1.07 -0.64 -1.75  1.34  1.50  1.21  1.66
 1980  1 -0.08 -0.32  0.06 -0.33 -0.60 -0.07  0.17  0.22  0.16  0.11  0.13  0.10 -0.56 -0.85 -0.20  0.21  0.32  0.18  0.31  0.18  0.51  0.86  0.79  0.91 -1.00
 1980  2  0.01  0.02  0.00 -0.17 -0.14 -0.20  0.18  0.32  0.14  0.12  0.04  0.16 -0.32 -0.17 -0.51  0.22  0.49  0.15  1.30  1.58  0.85  1.05  1.06  1.04 -1.13
 1980  3 -0.10 -0.31  0.02 -0.42 -0.72 -0.13  0.21  0.47  0.12  0.07 -0.06  0.14 -0.69 -0.95 -0.35  0.30  0.96  0.12 -0.22 -0.65  0.47  1.47  2.01  1.04 -1.50
 1980  4  0.04  0.05  0.03 -0.23 -0.26 -0.20  0.30  0.64  0.19  0.19  0.20  0.18 -0.46 -0.44 -0.49  0.37  1.07  0.19 -0.62 -0.53 -0.77  1.88  2.58  1.33 -0.52
 1980  5  0.08  0.08  0.08 -0.08 -0.15 -0.02  0.25  0.55  0.15  0.25  0.24  0.25 -0.25 -0.28 -0.21  0.24  0.78  0.09 -0.25 -0.54  0.21  0.83  1.16  0.57 -0.37
 1980  6  0.04 -0.16  0.16 -0.03 -0.20  0.14  0.11 -0.09  0.18  0.27  0.18  0.31 -0.17 -0.31  0.00  0.03 -0.34  0.12 -0.48 -0.73 -0.09 -0.49 -0.65 -0.36 -0.68
 1980  7  0.00  0.10 -0.06 -0.04 -0.09  0.01  0.04  0.46 -0.10  0.04  0.02  0.05 -0.09 -0.14 -0.04  0.05  0.86 -0.16 -0.79 -0.92 -0.59  1.60  2.70  0.73  0.77
 1980  8  0.05  0.16 -0.02 -0.07 -0.03 -0.10  0.17  0.54  0.04 -0.05 -0.12 -0.01 -0.06  0.01 -0.15  0.26  1.04  0.06  0.08  0.55 -0.68  1.30  2.26  0.53  0.08
 1980  9  0.07  0.14  0.02 -0.09 -0.14 -0.05  0.23  0.69  0.07  0.09  0.09  0.08 -0.19 -0.22 -0.15  0.30  1.17  0.06 -0.24 -0.12 -0.44  1.42  2.19  0.80  0.54
 1980 10 -0.03 -0.05 -0.03  0.02 -0.03  0.07 -0.09 -0.07 -0.09  0.04  0.10  0.01 -0.01 -0.09  0.10 -0.14 -0.17 -0.13  0.85  0.85  0.84 -0.52 -0.43 -0.59 -0.41
 1980 11  0.00  0.21 -0.12 -0.03  0.13 -0.19  0.03  0.37 -0.08 -0.02 -0.01 -0.03 -0.09  0.17 -0.42  0.11  0.71 -0.04 -1.53 -1.20 -2.04  0.83  1.60  0.22  0.16
 1980 12 -0.16 -0.11 -0.19 -0.26 -0.22 -0.30 -0.05  0.11 -0.11 -0.07 -0.12 -0.03 -0.36 -0.24 -0.52 -0.05  0.27 -0.13 -1.04 -0.63 -1.68  0.11  0.42 -0.14  0.91
 1981  1  0.02  0.23 -0.11 -0.09  0.32 -0.48  0.12  0.04  0.15 -0.17 -0.23 -0.14 -0.03  0.53 -0.75  0.26  0.19  0.28  1.38  2.65 -0.63  0.00 -0.20  0.15  0.45
 1981  2  0.06  0.04  0.07 -0.14 -0.04 -0.23  0.26  0.19  0.28 -0.19 -0.20 -0.18 -0.14  0.01 -0.33  0.52  0.52  0.52 -0.20  0.15 -0.77  0.63  0.51  0.72  0.17
 1981  3  0.02  0.13 -0.05 -0.08  0.09 -0.24  0.11  0.21  0.08 -0.09 -0.12 -0.07 -0.08  0.19 -0.43  0.23  0.41  0.18  0.27  0.23  0.32  1.38  1.97  0.90 -1.50
